nconst	primaryName	knownForTitles
nm0000320	Luis Buñuel	['tt0068361', 'tt0061395', 'tt0056732', 'tt0055601']
nm0671957	Arthur Penn	['tt0061418', 'tt0065988', 'tt0056241', 'tt0064002']
nm0742341	Stuart Rosenberg	['tt0061512', 'tt0055349', 'tt0054531', 'tt0078767']
nm0000736	Robert Aldrich	['tt0070030', 'tt0071771', 'tt0056687', 'tt0061578']
nm0001566	Mike Nichols	['tt0061722', 'tt0376541', 'tt0061184', 'tt0115685']
nm0422484	Norman Jewison	['tt0070239', 'tt0061811', 'tt0093565', 'tt0174856']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0578483	Jean-Pierre Melville	['tt0062229', 'tt0065531', 'tt0054821', 'tt0055082']
nm0318150	Lewis Gilbert	['tt0060086', 'tt0085478', 'tt0079574', 'tt0113269']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0946811	Peter Yates	['tt0078902', 'tt0085811', 'tt0062765', 'tt0085461']
nm0400731	Ken Hughes	['tt0062803', 'tt0054403', 'tt0082812', 'tt0061452']
nm0001681	George A. Romero	['tt0418819', 'tt0848557', 'tt0063350', 'tt0095652']
nm0769874	Franklin J. Schaffner	['tt0063442', 'tt0066206', 'tt0077269', 'tt0047731']
nm0000316	Mel Brooks	['tt0094012', 'tt0395251', 'tt0082517', 'tt0071230']
nm0000591	Roman Polanski	['tt0071315', 'tt0074811', 'tt1139328', 'tt0063522']
nm0001351	George Roy Hill	['tt0070735', 'tt0064115', 'tt0076723', 'tt0069280']
nm0001466	Sergio Leone	['tt0087843', 'tt0067140', 'tt0064116', 'tt0058461']
nm0000454	Dennis Hopper	['tt0064276', 'tt0090756', 'tt0111257', 'tt0114898']
nm0172772	Peter Collinson	['tt0064505', 'tt0063237', 'tt0062426', 'tt0076832']
nm0772259	John Schlesinger	['tt0064665', 'tt0059084', 'tt0074860', 'tt0080157']
nm0402597	Peter R. Hunt	['tt0064757', 'tt0055928', 'tt0062512', 'tt0059800']
nm0368871	Henry Hathaway	['tt0065126', 'tt0056085', 'tt0040202', 'tt0028401']
nm0404606	Brian G. Hutton	['tt0065207', 'tt0065938', 'tt0070444', 'tt0063621']
nm0001603	Sam Peckinpah	['tt0065214', 'tt0067800', 'tt0086058', 'tt0049366']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0692872	Ted Post	['tt0070355', 'tt0065462', 'tt0046660', 'tt0061747']
nm0404606	Brian G. Hutton	['tt0065207', 'tt0065938', 'tt0070444', 'tt0063621']
nm0000265	Robert Altman	['tt0280707', 'tt0073440', 'tt0108122', 'tt0105151']
nm0769874	Franklin J. Schaffner	['tt0063442', 'tt0066206', 'tt0077269', 'tt0047731']
nm0000184	George Lucas	['tt0076759', 'tt0066434', 'tt0069704', 'tt0082971']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0357891	Guy Hamilton	['tt0070328', 'tt0058150', 'tt0066995', 'tt0071807']
nm0796923	Don Siegel	['tt0079116', 'tt0066999', 'tt0049366', 'tt0067588']
nm0001243	William Friedkin	['tt0090180', 'tt0067116', 'tt0070047', 'tt0080569']
nm0000797	Hal Ashby	['tt0061811', 'tt0067185', 'tt0078841', 'tt0070290']
nm0000953	Peter Bogdanovich	['tt0067328', 'tt0063671', 'tt0070510', 'tt0079843']
nm0001603	Sam Peckinpah	['tt0065214', 'tt0067800', 'tt0086058', 'tt0049366']
nm0835799	Mel Stuart	['tt0067992', 'tt0236702', 'tt0054050', 'tt0072582']
nm0001348	Werner Herzog	['tt0083946', 'tt0068182', 'tt0790724', 'tt0079641']
nm0002080	Bob Fosse	['tt0068327', 'tt0071746', 'tt0078754', 'tt0256153']
nm0000958	John Boorman	['tt0093209', 'tt0082348', 'tt0120706', 'tt0068473']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000338	Francis Ford Coppola	['tt0078788', 'tt0071360', 'tt0071562', 'tt0068646']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0623768	Ronald Neame	['tt0038574', 'tt0043594', 'tt0069113', 'tt0055963']
nm0000581	Joseph L. Mankiewicz	['tt0042192', 'tt0041587', 'tt0056937', 'tt0069281']
nm0001789	Andrei Tarkovsky	['tt0091670', 'tt0069293', 'tt0086022', 'tt0079944']
nm0000184	George Lucas	['tt0076759', 'tt0066434', 'tt0069704', 'tt0082971']
nm0000517	Terrence Malick	['tt0077405', 'tt0069762', 'tt0478304', 'tt5827916']
nm0001676	Nicolas Roeg	['tt0069995', 'tt0067959', 'tt0074851', 'tt0100944']
nm0167195	Robert Clouse	['tt0070034', 'tt0106770', 'tt0077594', 'tt0073835']
nm0001243	William Friedkin	['tt0090180', 'tt0067116', 'tt0070047', 'tt0080569']
nm0357891	Guy Hamilton	['tt0070328', 'tt0058150', 'tt0066995', 'tt0071807']
nm0692872	Ted Post	['tt0070355', 'tt0065462', 'tt0046660', 'tt0061747']
nm0000217	Martin Scorsese	['tt5537002', 'tt0075314', 'tt0070379', 'tt0099685']
nm0000953	Peter Bogdanovich	['tt0067328', 'tt0063671', 'tt0070510', 'tt0079843']
nm0769874	Franklin J. Schaffner	['tt0063442', 'tt0066206', 'tt0077269', 'tt0047731']
nm0718627	Wolfgang Reitherman	['tt0065421', 'tt0061852', 'tt0057546', 'tt0053285']
nm0001486	Sidney Lumet	['tt0050083', 'tt0292963', 'tt0071877', 'tt0072890']
nm0281507	Richard Fleischer	['tt0070723', 'tt0046672', 'tt0052365', 'tt0060397']
