nconst	primaryName	knownForTitles
nm0000071	James Stewart	['tt0052561', 'tt0052357', 'tt0038650', 'tt0031679']
nm0001647	Claude Rains	['tt0034583', 'tt0038787', 'tt0024184', 'tt0031679']
nm0036427	Edward Arnold	['tt0030993', 'tt0031679', 'tt0033532', 'tt0033891']
nm0452128	Guy Kibbee	['tt0031679', 'tt0027421', 'tt0026174', 'tt0023369']
nm0593775	Thomas Mitchell	['tt0031971', 'tt0031381', 'tt0038650', 'tt0031679']
nm0657874	Eugene Pallette	['tt0029843', 'tt0028010', 'tt0031679', 'tt0032762']
nm0912478	H.B. Warner	['tt0038650', 'tt0029162', 'tt0027996', 'tt0030993']
nm0002503	Harry Carey	['tt0031679', 'tt0040724', 'tt0022495', 'tt0032247']
nm0000078	John Wayne	['tt0065126', 'tt0056217', 'tt0075213', 'tt0053580']
nm0222596	Andy Devine	['tt0031971', 'tt0056217', 'tt0070608', 'tt0029606']
nm0001017	John Carradine	['tt0032551', 'tt0031971', 'tt0082533', 'tt0049833']
nm0593775	Thomas Mitchell	['tt0031971', 'tt0031381', 'tt0038650', 'tt0031679']
nm0051628	George Bancroft	['tt0031971', 'tt0018839', 'tt0018526', 'tt0020499']
nm0576083	Donald Meek	['tt0031971', 'tt0030993', 'tt0034399', 'tt0031721']
nm0161414	Berton Churchill	['tt0031971', 'tt0030817', 'tt0027042', 'tt0023629']
nm0392529	Tim Holt	['tt0035015', 'tt0040897', 'tt0038762', 'tt0031971']
nm0604656	Frank Morgan	['tt0032138', 'tt0033045', 'tt0035460', 'tt0028416']
nm0604656	Frank Morgan	['tt0032138', 'tt0033045', 'tt0035460', 'tt0028416']
nm0604656	Frank Morgan	['tt0032138', 'tt0033045', 'tt0035460', 'tt0028416']
nm0001961	Ray Bolger	['tt0032138', 'tt0054649', 'tt0045325', 'tt0044370']
nm0001961	Ray Bolger	['tt0032138', 'tt0054649', 'tt0045325', 'tt0044370']
nm0481618	Bert Lahr	['tt0032138', 'tt0035338', 'tt0035320', 'tt0037062']
nm0481618	Bert Lahr	['tt0032138', 'tt0035338', 'tt0035320', 'tt0037062']
nm0355095	Jack Haley	['tt0032138', 'tt0039075', 'tt0038091', 'tt0037151']
nm0355095	Jack Haley	['tt0032138', 'tt0039075', 'tt0038091', 'tt0037151']
nm0335788	Charley Grapewin	['tt0032138', 'tt0032551', 'tt0028096', 'tt0026056']
nm0909930	Pat Walshe	['tt0032138', 'tt0158196', 'tt0021883']
nm0123553	Corey Burton	['tt0092106', 'tt0230011', 'tt1568322', 'tt0119282']
nm0123553	Corey Burton	['tt0092106', 'tt0230011', 'tt1568322', 'tt0119282']
nm0000370	Walt Disney	['tt0029583', 'tt0048280', 'tt0034492', 'tt0058331']
nm0000370	Walt Disney	['tt0029583', 'tt0048280', 'tt0034492', 'tt0058331']
nm0235079	Hugh Douglas	['tt0087635', 'tt0059968', 'tt0058844', 'tt0061266']
nm0235079	Hugh Douglas	['tt0087635', 'tt0059968', 'tt0058844', 'tt0061266']
nm0531763	James MacDonald	['tt0042332', 'tt0043274', 'tt0078869', 'tt0058331']
nm0001513	Tim Matheson	['tt0077975', 'tt0200276', 'tt1832979', 'tt9077530']
nm0001513	Tim Matheson	['tt0077975', 'tt0200276', 'tt1832979', 'tt9077530']
nm1345229	Paul J. Smith	['tt0032910', 'tt0029583', 'tt0042332', 'tt0046672']
nm0000020	Henry Fonda	['tt0050083', 'tt0082846', 'tt0032551', 'tt0051207']
nm0001017	John Carradine	['tt0032551', 'tt0031971', 'tt0082533', 'tt0049833']
nm0335788	Charley Grapewin	['tt0032138', 'tt0032551', 'tt0028096', 'tt0026056']
nm0801193	Russell Simpson	['tt0032551', 'tt0038762', 'tt0047472', 'tt0017886']
nm0925713	O.Z. Whitehead	['tt0032551', 'tt0052902', 'tt0063227', 'tt0056217']
nm0702798	John Qualen	['tt0034583', 'tt0056217', 'tt0032551', 'tt0052561']
nm0703600	Eddie Quillan	['tt0026752', 'tt0032551', 'tt0029207', 'tt0021184']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
nm0000122	Charles Chaplin	['tt0032553', 'tt0027977', 'tt0044837', 'tt0021749']
