tconst	primaryTitle	startYear	genres	actors	directors
tt0053125	North by Northwest	1959.0	['Action', 'Adventure', 'Mystery']	['nm0000026', 'nm0000051', 'nm0001991', 'nm0643211', 'nm0001445', 'nm0929965', 'nm0686857']	['nm0000033']
tt0053198	The 400 Blows	1959.0	['Crime', 'Drama']	['nm0529543', 'nm0753716', 'nm0213948', 'nm0280961', 'nm0041756', 'nm0184309', 'nm0633758', 'nm0437128', 'nm0284967']	['nm0000076']
tt0053221	Rio Bravo	1959.0	['Western']	['nm0000078', 'nm0001509', 'nm0625699', 'nm0000974', 'nm0000955', 'nm0751245', 'nm0327602', 'nm0015391']	['nm0001328']
tt0053285	Sleeping Beauty	1959.0	['Adventure', 'Animation', 'Family']	['nm0794301', 'nm0392067', 'nm0859892', 'nm2146664', 'nm2146664', 'nm0088285']	['nm0164203', 'nm0314671', 'nm0488981', 'nm0718627']
tt0053291	Some Like It Hot	1959.0	['Comedy', 'Music', 'Romance']	['nm0000348', 'nm0000348', 'nm0000348', 'nm0000493', 'nm0000493', 'nm0706368', 'nm0002285', 'nm0113873', 'nm0675490', 'nm0336475', 'nm0831889']	['nm0000697']
tt0053472	Breathless	1960.0	['Crime', 'Drama']	['nm0000901', 'nm0000419', 'nm0049838', 'nm0099429', 'nm0102722', 'nm0003606', 'nm0126864', 'nm0231308']	['nm0000419']
tt0053604	The Apartment	1960.0	['Comedy', 'Drama', 'Romance']	['nm0000493', 'nm0534045', 'nm0001827', 'nm0472816', 'nm0507081', 'nm0786252']	['nm0000697']
tt0053779	La Dolce Vita	1960.0	['Comedy', 'Drama']	['nm0000052', 'nm0192490', 'nm0632423', 'nm0763492', 'nm0308523']	['nm0000019']
tt0054047	The Magnificent Seven	1960.0	['Action', 'Adventure', 'Drama']	['nm0000989', 'nm0000537', 'nm0000314', 'nm0908919', 'nm0001976', 'nm0001816', 'nm0223290', 'nm0000336', 'nm0554830', 'nm0812453']	['nm0836328']
tt0054215	Psycho	1960.0	['Horror', 'Mystery', 'Thriller']	['nm0000578', 'nm0001260', 'nm0000842', 'nm0570615', 'nm0643000', 'nm0007214', 'nm0853299']	['nm0000033']
tt0054331	Spartacus	1960.0	['Adventure', 'Biography', 'Drama']	['nm0000018', 'nm0000059', 'nm0001452', 'nm0001811', 'nm0001260', 'nm0409869', 'nm0007042', 'nm0197982']	['nm0000040']
tt0054698	Breakfast at Tiffany's	1961.0	['Comedy', 'Drama', 'Romance']	['nm0000577', 'nm0001171', 'nm0000842', 'nm0897808', 'nm0569410', 'nm0011366']	['nm0001175']
tt0054953	The Guns of Navarone	1961.0	['Action', 'Adventure', 'Drama']	['nm0000057', 'nm0000060', 'nm0000063', 'nm0703033', 'nm0048939', 'nm0201626', 'nm0433150', 'nm0433150', 'nm0001321']	['nm0496746']
